iter	MultiClass
0	1.913375285
1	1.883120127
2	1.853891371
3	1.824050619
4	1.802496133
5	1.780712393
6	1.757811567
7	1.739514399
8	1.720062889
9	1.699100682
10	1.687888818
11	1.673540206
12	1.659056695
13	1.650591441
14	1.637873902
15	1.624279636
16	1.616627466
17	1.600579759
18	1.593169292
19	1.583966509
20	1.573832122
21	1.564646295
22	1.554095612
23	1.540547288
24	1.531065374
25	1.523995416
26	1.512120684
27	1.502142381
28	1.494005972
29	1.485061737
30	1.474444921
31	1.467081955
32	1.458632518
33	1.45372497
34	1.444779216
35	1.435888782
36	1.425717698
37	1.417690235
38	1.411783571
39	1.404971397
40	1.398057435
41	1.390321356
42	1.38342252
43	1.377537043
44	1.37155563
45	1.364614999
46	1.358497946
47	1.350473248
48	1.343955102
49	1.336982524
50	1.329072999
51	1.322713901
52	1.319839155
53	1.313566993
54	1.305601762
55	1.300544567
56	1.296876981
57	1.289683459
58	1.283102088
59	1.276702532
60	1.272276178
61	1.267687977
62	1.263710664
63	1.2579628
64	1.254206017
65	1.249187569
66	1.242627159
67	1.237501571
68	1.23269035
69	1.226588031
70	1.221606882
71	1.217064105
72	1.211707721
73	1.20762124
74	1.200916768
75	1.194267743
76	1.18978935
77	1.185992837
78	1.181942513
79	1.179174002
80	1.176275576
81	1.171601322
82	1.167471188
83	1.163959297
84	1.15838382
85	1.154320524
86	1.151133639
87	1.146173247
88	1.143324229
89	1.138325157
90	1.134234453
91	1.129979164
92	1.125262675
93	1.119588195
94	1.114733628
95	1.111730293
96	1.108437702
97	1.105134092
98	1.102344847
99	1.099140127
100	1.093805733
101	1.090181492
102	1.084536245
103	1.081454111
104	1.078485764
105	1.074395299
106	1.070727188
107	1.066622745
108	1.062382775
109	1.059029073
110	1.054544487
111	1.04967124
112	1.04591081
113	1.043799232
114	1.041022148
115	1.038177696
116	1.035877973
117	1.031361639
118	1.028743753
119	1.025429279
120	1.022798457
121	1.019207158
122	1.013915314
123	1.009892082
124	1.005803094
125	1.002716143
126	0.9994277546
127	0.9952114327
128	0.9925839232
129	0.9887264528
130	0.9856671838
131	0.9818796789
132	0.9778957052
133	0.9756807193
134	0.9714093053
135	0.9690619773
136	0.9653756742
137	0.9618313448
138	0.9592889766
139	0.9574393277
140	0.9538289456
141	0.9496609671
142	0.9464858834
143	0.943950329
144	0.9418660875
145	0.9388648329
146	0.9361984739
147	0.9343331579
148	0.9324258337
149	0.9302421249
150	0.9267043185
151	0.9246688392
152	0.9229899562
153	0.9204598886
154	0.9177720849
155	0.9140433278
156	0.9101839823
157	0.9072499651
158	0.9045781355
159	0.9018875864
160	0.8999367166
161	0.8977665063
162	0.8940717588
163	0.891899574
164	0.8892991581
165	0.886815873
166	0.8839517481
167	0.8817329788
168	0.8777831897
169	0.8745981924
170	0.8702741872
171	0.8665098759
172	0.8644042053
173	0.86117116
174	0.859554306
175	0.8574826109
176	0.855069351
177	0.8531004387
178	0.8503412984
179	0.8486712726
180	0.8448401928
181	0.8414356834
182	0.840340038
183	0.8369294279
184	0.8349416813
185	0.833709925
186	0.8311779484
187	0.8283906203
188	0.8251847054
189	0.8219885665
190	0.8205122519
191	0.8181726985
192	0.816280325
193	0.8144463834
194	0.8109724629
195	0.8089486571
196	0.8063866777
197	0.8041609479
198	0.8013140887
199	0.7975398706
200	0.7945712189
201	0.792475692
202	0.7904611398
203	0.7888068982
204	0.786607629
205	0.7845745109
206	0.7832970745
207	0.7815970848
208	0.7785250159
209	0.7752402667
210	0.7719696858
211	0.7705175321
212	0.7682416412
213	0.765909222
214	0.7630326345
215	0.7612307294
216	0.7587775478
217	0.7569487555
218	0.7546814465
219	0.7521162035
220	0.7498061722
221	0.7480665938
222	0.7463304973
223	0.7432123437
224	0.7412473997
225	0.7388595851
226	0.7366023596
227	0.7348161034
228	0.7324474797
229	0.7302621621
230	0.7285218747
231	0.7270134237
232	0.7254548902
233	0.7230272594
234	0.7214143957
235	0.7196913697
236	0.7174437925
237	0.7160503418
238	0.7151773629
239	0.7129933132
240	0.7109361882
241	0.7089093966
242	0.7066358423
243	0.7045783863
244	0.7029307703
245	0.7013766691
246	0.6988590781
247	0.6971205007
248	0.6959447448
249	0.6949081744
250	0.6935141365
251	0.6916076672
252	0.6904522515
253	0.6893240352
254	0.6872895849
255	0.6862686927
256	0.6852149915
257	0.6829586262
258	0.6810444239
259	0.6800622333
260	0.6784094299
261	0.6763514906
262	0.674233411
263	0.6731114948
264	0.6716924599
265	0.6699900694
266	0.6691297247
267	0.6679069959
268	0.6650949784
269	0.6640921166
270	0.6622680653
271	0.6605548871
272	0.6586056842
273	0.6570998768
274	0.6549823258
275	0.6529769644
276	0.6508724633
277	0.6495239289
278	0.6472630859
279	0.6465055651
280	0.6441840235
281	0.6423056476
282	0.6413579767
283	0.6388299268
284	0.637639968
285	0.6367185854
286	0.6354839955
287	0.6338770728
288	0.6320626963
289	0.6303471917
290	0.6283225724
291	0.6268756851
292	0.6243929452
293	0.6233059459
294	0.6221997473
295	0.6209330049
296	0.6192277265
297	0.6179609336
298	0.6166220033
299	0.6151900832
300	0.6137583803
301	0.6121615897
302	0.6096145627
303	0.6086595853
304	0.6073920568
305	0.605842722
306	0.604285219
307	0.6027788666
308	0.6017005012
309	0.6004843053
310	0.598572892
311	0.5980577424
312	0.597455949
313	0.5960572103
314	0.5940579111
315	0.5929489207
316	0.5909452681
317	0.5890184778
318	0.5874827025
319	0.5850003844
320	0.5841343587
321	0.5833228156
322	0.582545099
323	0.581227956
324	0.5800344344
325	0.5783744532
326	0.5770232376
327	0.5761010629
328	0.5747964091
329	0.5732549217
330	0.5719145156
331	0.5701571966
332	0.5692592345
333	0.5673280218
334	0.5656940576
335	0.5642723491
336	0.5629984984
337	0.561398533
338	0.5597368853
339	0.5585151125
340	0.5571549457
341	0.555772816
342	0.5548320251
343	0.5539825296
344	0.5524162555
345	0.5510860303
346	0.5491109006
347	0.5473572293
348	0.5464233777
349	0.5447561784
350	0.5435895235
351	0.542658624
352	0.5411808799
353	0.5401622286
354	0.5391867123
355	0.5374682161
356	0.5363353263
357	0.534873071
358	0.5334502333
359	0.5319094223
360	0.5306179916
361	0.5291047304
362	0.5278969777
363	0.5269066904
364	0.5257008497
365	0.5250881523
366	0.5234554738
367	0.5219474458
368	0.5210638876
369	0.5196438152
370	0.5183268396
371	0.5175883403
372	0.5163062097
373	0.5145696605
374	0.513548688
375	0.5124964602
376	0.5117581711
377	0.5105202176
378	0.5090746906
379	0.5074067947
380	0.5065865198
381	0.5059312248
382	0.50562697
383	0.5040003574
384	0.5030611191
385	0.5016467052
386	0.4999261229
387	0.4980998686
388	0.4966633543
389	0.4955071464
390	0.4939414988
391	0.4926385866
392	0.491503561
393	0.4892857077
394	0.4873801715
395	0.4857142626
396	0.4847219809
397	0.4837110003
398	0.4820484635
399	0.4808276391
400	0.4799479108
401	0.4784878615
402	0.4774491061
403	0.4761576393
404	0.4751421334
405	0.4740580313
406	0.4724025029
407	0.4716140278
408	0.4705038039
409	0.4690845936
410	0.4685612666
411	0.4677297409
412	0.4667325293
413	0.4659517791
414	0.4650157789
415	0.4636205024
416	0.4625561421
417	0.4615768913
418	0.4610185942
419	0.4597607137
420	0.4582867452
421	0.45743995
422	0.4563637192
423	0.4554402731
424	0.4543626956
425	0.4536568987
426	0.4529535621
427	0.4515920742
428	0.4500133454
429	0.4492993361
430	0.4477455004
431	0.44662753
432	0.4451656786
433	0.44393794
434	0.4424164512
435	0.4412456925
436	0.4396493745
437	0.4389693498
438	0.437489453
439	0.4357320641
440	0.4348720274
441	0.4340591812
442	0.4328966493
443	0.4319189393
444	0.4314167552
445	0.4305364247
446	0.4293037751
447	0.428531491
448	0.427644524
449	0.4266747924
450	0.4259653164
451	0.4253237091
452	0.4237368848
453	0.4222256012
454	0.4216443837
455	0.4209206637
456	0.4202627777
457	0.4195866808
458	0.4189709364
459	0.4183458851
460	0.4177039675
461	0.4170936394
462	0.4161276593
463	0.4153886558
464	0.4141334713
465	0.4134868362
466	0.4124117232
467	0.4115139024
468	0.4099820407
469	0.409021181
470	0.4075842607
471	0.4072021348
472	0.4064786157
473	0.4053510997
474	0.4043999263
475	0.4038026527
476	0.4029316918
477	0.4018955204
478	0.4010092247
479	0.4006219616
480	0.3994683306
481	0.3989716872
482	0.3980582582
483	0.3974519861
484	0.3961098075
485	0.3955201174
486	0.3940678695
487	0.3932126424
488	0.3924326656
489	0.3913339267
490	0.3899677265
491	0.3886974685
492	0.3872769523
493	0.3862987837
494	0.3853590808
495	0.3848228515
496	0.3834957955
497	0.382623006
498	0.3818821127
499	0.3810176211
500	0.3803216616
501	0.3797392635
502	0.3788319124
503	0.3777206156
504	0.3769183396
505	0.3758901329
506	0.3749720888
507	0.3740107907
508	0.3735976099
509	0.3728784415
510	0.3722491833
511	0.3715019256
512	0.3706881062
513	0.3694716594
514	0.369022724
515	0.3679692523
516	0.3662597326
517	0.3651704819
518	0.3644299049
519	0.3632971237
520	0.3626482057
521	0.361788668
522	0.3606850119
523	0.3601604349
524	0.3596221935
525	0.3591724485
526	0.3587774244
527	0.3581670042
528	0.3575209449
529	0.3568141134
530	0.3565384627
531	0.3558802802
532	0.3544184001
533	0.3535924792
534	0.3530736205
535	0.3522637054
536	0.3518713681
537	0.3511886845
538	0.3506450571
539	0.3500900888
540	0.349395995
541	0.3484444252
542	0.3475615255
543	0.3469126346
544	0.3458942825
545	0.3454090941
546	0.3447131417
547	0.3441738836
548	0.3435860676
549	0.3430634267
550	0.3421690039
551	0.3414241206
552	0.3406570911
553	0.3399579764
554	0.3395838347
555	0.3390182175
556	0.3383882897
557	0.3376086322
558	0.3373314777
559	0.3365627233
560	0.3358559284
561	0.3352939128
562	0.3347875135
563	0.3344247774
564	0.333782796
565	0.3332072686
566	0.3323054409
567	0.3318981745
568	0.331323876
569	0.3308198237
570	0.3299147291
571	0.3292577737
572	0.3286274715
573	0.3282374651
574	0.3274293756
575	0.3267477363
576	0.326085413
577	0.3257584979
578	0.3248655785
579	0.3242138558
580	0.3234706083
581	0.3227402613
582	0.3222038063
583	0.3208862398
584	0.3202578462
585	0.3198968046
586	0.3192590426
587	0.3184779373
588	0.3180247332
589	0.3177908248
590	0.3168576845
591	0.316157615
592	0.3154568828
593	0.3149526284
594	0.3146618424
595	0.3138778256
596	0.3132744125
597	0.3124546031
598	0.3121281448
599	0.3116032006
600	0.3107779098
601	0.3104347713
602	0.3095435325
603	0.3090383059
604	0.3086091346
605	0.3081093996
606	0.3076446559
607	0.307096635
608	0.3065672635
609	0.3060943028
610	0.3055138221
611	0.3050454271
612	0.3045557237
613	0.3036337523
614	0.3031498742
615	0.3027795728
616	0.3023236149
617	0.3018196743
618	0.3012173399
619	0.3004620114
620	0.2999059128
621	0.2995013587
622	0.2991265545
623	0.2982815039
624	0.2979129571
625	0.2972585404
626	0.296332129
627	0.29579436
628	0.2953998979
629	0.2946831784
630	0.2940024695
631	0.2934173204
632	0.2929865579
633	0.2922971613
634	0.2917595008
635	0.2908924674
636	0.2901252135
637	0.2897396422
638	0.2894355505
639	0.2892505729
640	0.2887541168
641	0.2882889432
642	0.2874895437
643	0.2871670947
644	0.2866161119
645	0.2862191832
646	0.2856498398
647	0.2847593807
648	0.2842401669
649	0.2833173443
650	0.282894745
651	0.2824170497
652	0.282143721
653	0.281806261
654	0.2813944569
655	0.2806483902
656	0.2801899357
657	0.2796131502
658	0.2791685749
659	0.2786644976
660	0.2779153577
661	0.2773482679
662	0.27686746
663	0.276300478
664	0.275721085
665	0.2752487395
666	0.274898826
667	0.2746021019
668	0.2739843993
669	0.2735405408
670	0.2730898663
671	0.272681868
672	0.272141529
673	0.2717294662
674	0.2711563806
675	0.2706808733
676	0.2700796404
677	0.2696055824
678	0.2692303265
679	0.2684616506
680	0.2678558048
681	0.2674127478
682	0.2670466547
683	0.2664937004
684	0.2659964971
685	0.2652528137
686	0.2650112356
687	0.264422144
688	0.2640995138
689	0.2635802077
690	0.2633175796
691	0.2629180854
692	0.2624265587
693	0.2619051706
694	0.2616569488
695	0.2607847558
696	0.2602824311
697	0.2595152244
698	0.2591728684
699	0.2586778263
700	0.2584059326
701	0.2579196385
702	0.2573672954
703	0.2568881555
704	0.2567025246
705	0.2560699246
706	0.2557848405
707	0.255438006
708	0.2552315566
709	0.2549013331
710	0.2546716912
711	0.254057604
712	0.2536680848
713	0.2531442881
714	0.2528876837
715	0.2525711046
716	0.2519831512
717	0.251334332
718	0.2507556836
719	0.25044272
720	0.2498437924
721	0.2494244752
722	0.2491682807
723	0.2488659469
724	0.2486125486
725	0.2481433074
726	0.2475137563
727	0.2470808547
728	0.2467665522
729	0.2462516225
730	0.2458784927
731	0.2454510326
732	0.2451810754
733	0.2448544433
734	0.2444397453
735	0.2440523561
736	0.2435567198
737	0.2431938229
738	0.2429664225
739	0.2426197051
740	0.2421352324
741	0.2416786998
742	0.2410963819
743	0.2408232715
744	0.2403102111
745	0.239964311
746	0.2395724824
747	0.2391934899
748	0.2389141638
749	0.2384631618
750	0.237668333
751	0.2373168373
752	0.2369428689
753	0.2367490316
754	0.2364225684
755	0.2360299655
756	0.2356957478
757	0.2352656889
758	0.2349312315
759	0.2345907372
760	0.234353614
761	0.2339489094
762	0.233555671
763	0.2331979187
764	0.2326463154
765	0.2323596607
766	0.2319652334
767	0.2315499724
768	0.2311977477
769	0.2308147959
770	0.2302568907
771	0.2297893665
772	0.2294456595
773	0.229108874
774	0.2286608849
775	0.228275688
776	0.2277444275
777	0.2273490099
778	0.2269636449
779	0.2265907418
780	0.2260928959
781	0.2256717447
782	0.2252655349
783	0.2249072197
784	0.2244698771
785	0.2239246058
786	0.2236238419
787	0.2232860667
788	0.2228643347
789	0.2226238404
790	0.2221336104
791	0.2217959635
792	0.2215521692
793	0.2212779517
794	0.2207454185
795	0.2204035855
796	0.2200867594
797	0.2197728399
798	0.2194003977
799	0.2189747668
800	0.218630725
801	0.2182788311
802	0.2180304185
803	0.2175896594
804	0.2169919065
805	0.2167711429
806	0.2164985093
807	0.2161094794
808	0.2157583306
809	0.215182148
810	0.2148840593
811	0.2145152247
812	0.2142151007
813	0.2139003037
814	0.2136299218
815	0.213443976
816	0.2131002262
817	0.2127736346
818	0.2122474141
819	0.2120849873
820	0.211706026
821	0.2115661404
822	0.2112130285
823	0.2108596275
824	0.2107172693
825	0.210373132
826	0.2101375462
827	0.209778877
828	0.2094505709
829	0.2089430721
830	0.2086744653
831	0.2082980365
832	0.2079366616
833	0.2074807154
834	0.2071303803
835	0.2064883733
836	0.206267212
837	0.205724231
838	0.2053899064
839	0.2051069738
840	0.2048639893
841	0.2043465582
842	0.204113805
843	0.2037426093
844	0.2034665242
845	0.2030836075
846	0.2029754825
847	0.202636879
848	0.2023354885
849	0.201899465
850	0.2014829621
851	0.2013347207
852	0.2010590115
853	0.2008390659
854	0.2007077523
855	0.2004697958
856	0.1998635274
857	0.1996332427
858	0.1993334414
859	0.1991096517
860	0.1987481553
861	0.1985163537
862	0.1982283629
863	0.1979437698
864	0.1975521636
865	0.1971113074
866	0.1969549089
867	0.1964982291
868	0.1960570379
869	0.195754466
870	0.1955520944
871	0.1953692399
872	0.1950835594
873	0.1946528733
874	0.1942587408
875	0.1938885939
876	0.1934434045
877	0.1931337505
878	0.1928427106
879	0.1926515094
880	0.192303724
881	0.1921513673
882	0.1918547462
883	0.1915307083
884	0.1911554632
885	0.1909013167
886	0.1904001126
887	0.1901694679
888	0.18996667
889	0.1895547406
890	0.1893276505
891	0.1891414004
892	0.1889062857
893	0.1885297804
894	0.1883081315
895	0.188035204
896	0.1876951017
897	0.1874044563
898	0.1871119911
899	0.1868679958
900	0.1865871224
901	0.18631176
902	0.1861256708
903	0.1857722061
904	0.1854519105
905	0.1852317672
906	0.1849531401
907	0.1847096913
908	0.1845597088
909	0.1843160876
910	0.1839492202
911	0.1836405142
912	0.1834122817
913	0.1832639254
914	0.1828068222
915	0.1826206085
916	0.1823678101
917	0.1820414498
918	0.1819226844
919	0.1817821578
920	0.1815929841
921	0.1813455869
922	0.1811128313
923	0.1808932546
924	0.1806348459
925	0.180378942
926	0.1801345611
927	0.1798793443
928	0.1796741544
929	0.1794986279
930	0.1792730408
931	0.1790119803
932	0.1786390947
933	0.1783279887
934	0.1780917736
935	0.1778305884
936	0.1776121071
937	0.1773492635
938	0.1769697512
939	0.1766044262
