iter	Passed	Remaining
408	5386	7783
409	5398	7768
410	5406	7748
411	5417	7732
412	5427	7714
413	5436	7695
414	5448	7680
415	5457	7661
416	5468	7644
417	5477	7626
418	5489	7612
419	5501	7597
420	5511	7579
421	5521	7563
422	5533	7547
423	5545	7533
424	5557	7519
425	5569	7504
426	5582	7491
427	5595	7478
428	5610	7467
429	5623	7454
430	5637	7442
431	5652	7431
432	5668	7422
433	5683	7412
434	5696	7398
435	5710	7386
436	5721	7370
437	5731	7354
438	5741	7336
439	5749	7318
440	5761	7302
441	5773	7288
442	5782	7270
443	5794	7255
444	5803	7238
445	5814	7222
446	5826	7208
447	5836	7191
448	5847	7175
449	5858	7159
450	5866	7140
451	5875	7123
452	5884	7106
453	5894	7088
454	5905	7073
455	5916	7057
456	5925	7040
457	5935	7023
458	5947	7009
459	5957	6993
460	5966	6976
461	5977	6960
462	5989	6946
463	5997	6928
464	6009	6914
465	6021	6900
466	6034	6886
467	6046	6873
468	6059	6860
469	6073	6848
470	6085	6835
471	6097	6821
472	6110	6807
473	6122	6794
474	6135	6781
475	6148	6768
476	6161	6755
477	6173	6742
478	6186	6728
479	6198	6714
480	6208	6698
481	6220	6684
482	6232	6671
483	6245	6658
484	6257	6644
485	6270	6631
486	6280	6616
487	6289	6599
488	6301	6584
489	6309	6567
490	6320	6552
491	6330	6536
492	6342	6522
493	6351	6506
494	6361	6490
495	6370	6473
496	6380	6457
497	6390	6441
498	6400	6426
499	6410	6410
500	6419	6393
501	6428	6377
502	6438	6362
503	6449	6347
504	6461	6333
505	6483	6329
506	6498	6319
507	6511	6305
508	6519	6289
509	6530	6274
510	6540	6258
511	6555	6247
512	6569	6236
513	6582	6223
514	6595	6211
515	6607	6197
516	6618	6183
517	6631	6170
518	6644	6157
519	6656	6144
520	6669	6131
521	6682	6119
522	6696	6107
523	6709	6094
524	6722	6081
525	6734	6068
526	6746	6055
527	6758	6041
528	6769	6027
529	6781	6013
530	6793	5999
531	6803	5985
532	6812	5969
533	6823	5954
534	6831	5937
535	6842	5923
536	6853	5909
537	6865	5895
538	6878	5883
539	6891	5870
540	6902	5855
541	6912	5840
542	6923	5826
543	6932	5811
544	6942	5795
545	6954	5782
546	6967	5770
547	6978	5756
548	6988	5741
549	6997	5725
550	7006	5709
551	7016	5694
552	7025	5678
553	7035	5664
554	7044	5648
555	7054	5633
556	7065	5619
557	7076	5605
558	7088	5592
559	7099	5578
560	7109	5563
561	7121	5549
562	7131	5535
563	7140	5519
564	7151	5505
565	7159	5489
566	7170	5475
567	7180	5461
568	7192	5447
569	7203	5434
570	7213	5419
571	7221	5403
572	7232	5389
573	7240	5373
574	7250	5359
575	7259	5344
576	7269	5329
577	7280	5315
578	7291	5301
579	7304	5289
580	7316	5276
581	7331	5265
582	7349	5257
583	7365	5246
584	7381	5236
585	7397	5226
586	7411	5214
587	7425	5202
588	7438	5190
589	7451	5178
590	7464	5165
591	7476	5152
592	7487	5139
593	7500	5126
594	7512	5113
595	7524	5100
596	7536	5087
597	7546	5073
598	7560	5061
599	7573	5049
600	7588	5037
601	7602	5026
602	7615	5013
603	7629	5001
604	7643	4990
605	7658	4979
606	7672	4967
607	7687	4956
608	7701	4944
609	7713	4931
610	7727	4919
611	7740	4907
612	7751	4893
613	7762	4880
614	7775	4867
615	7785	4853
616	7794	4838
617	7805	4824
618	7814	4809
619	7826	4796
620	7835	4782
621	7844	4767
622	7855	4753
623	7862	4737
624	7874	4724
625	7884	4710
626	7893	4695
627	7904	4682
628	7913	4667
629	7925	4654
630	7943	4645
631	7964	4637
632	7982	4627
633	7995	4615
634	8009	4603
635	8025	4593
636	8041	4582
637	8056	4571
638	8069	4558
639	8083	4546
640	8097	4534
641	8109	4522
642	8122	4509
643	8136	4498
644	8150	4485
645	8164	4473
646	8177	4461
647	8191	4449
648	8205	4437
649	8218	4425
650	8237	4416
651	8254	4405
652	8269	4394
653	8284	4382
654	8297	4370
655	8310	4357
656	8323	4345
657	8335	4332
658	8347	4319
659	8356	4304
660	8368	4291
661	8380	4278
662	8391	4265
663	8399	4250
664	8411	4237
665	8424	4224
666	8436	4211
667	8449	4199
668	8461	4186
669	8471	4172
670	8481	4158
671	8492	4145
672	8505	4132
673	8521	4121
674	8536	4110
675	8554	4100
676	8567	4087
677	8581	4075
678	8594	4063
679	8607	4050
680	8620	4038
681	8633	4025
682	8647	4013
683	8659	4000
684	8671	3987
685	8683	3974
686	8695	3961
687	8707	3948
688	8719	3935
689	8731	3923
690	8744	3910
691	8756	3897
692	8767	3884
693	8780	3871
694	8793	3859
695	8805	3845
696	8816	3832
697	8828	3819
698	8841	3807
699	8853	3794
700	8865	3781
701	8877	3768
702	8889	3755
703	8902	3742
704	8913	3729
705	8925	3716
706	8938	3704
707	8953	3692
708	8967	3680
709	8981	3668
710	8994	3655
711	9006	3643
712	9019	3630
713	9033	3618
714	9048	3606
715	9063	3594
716	9077	3582
717	9092	3571
718	9104	3558
719	9118	3546
720	9132	3534
721	9146	3521
722	9160	3509
723	9173	3497
724	9187	3485
725	9201	3472
726	9214	3460
727	9243	3453
728	9259	3442
729	9275	3430
730	9288	3417
731	9301	3405
732	9314	3392
733	9328	3380
734	9342	3368
735	9355	3355
736	9369	3343
737	9382	3331
738	9395	3318
739	9407	3305
740	9419	3292
741	9433	3280
742	9446	3267
743	9459	3254
744	9471	3242
745	9484	3229
746	9496	3216
747	9509	3203
748	9521	3190
749	9532	3177
750	9544	3164
751	9558	3152
752	9571	3139
753	9583	3126
754	9595	3113
755	9608	3101
756	9621	3088
757	9633	3075
758	9646	3062
759	9658	3050
760	9670	3037
761	9683	3024
762	9695	3011
763	9709	2999
764	9721	2986
765	9734	2973
766	9747	2961
767	9760	2948
768	9775	2936
769	9790	2924
770	9804	2912
771	9817	2899
772	9831	2887
773	9844	2874
774	9857	2861
775	9871	2849
776	9885	2837
777	9897	2824
778	9909	2811
779	9923	2798
780	9936	2786
781	9947	2773
782	9959	2760
783	9969	2746
784	9979	2733
785	9991	2720
786	10001	2707
787	10011	2693
788	10023	2680
789	10035	2667
790	10046	2654
791	10058	2641
792	10070	2628
793	10082	2615
794	10092	2602
795	10102	2589
796	10112	2575
797	10121	2562
798	10131	2548
799	10141	2535
800	10151	2522
801	10163	2509
802	10175	2496
803	10184	2482
804	10195	2469
805	10207	2456
806	10216	2443
807	10225	2429
808	10234	2416
809	10247	2403
810	10258	2390
811	10269	2377
812	10281	2364
813	10294	2352
814	10306	2339
815	10319	2326
816	10332	2314
817	10346	2301
818	10360	2289
819	10374	2277
820	10386	2264
821	10399	2251
822	10412	2239
823	10426	2226
824	10439	2214
825	10451	2201
826	10467	2189
827	10490	2179
828	10504	2166
829	10516	2154
830	10529	2141
831	10542	2128
832	10556	2116
833	10570	2103
834	10584	2091
835	10597	2078
836	10612	2066
837	10626	2054
838	10640	2041
839	10654	2029
840	10669	2017
841	10683	2004
842	10697	1992
843	10710	1979
844	10723	1967
845	10735	1954
846	10748	1941
847	10760	1928
848	10772	1916
849	10784	1903
850	10797	1890
851	10811	1877
852	10824	1865
853	10837	1852
854	10850	1840
855	10864	1827
856	10878	1815
857	10891	1802
858	10905	1790
859	10918	1777
860	10932	1764
861	10944	1752
862	10957	1739
863	10970	1726
864	10983	1714
865	10997	1701
866	11011	1689
867	11024	1676
868	11037	1663
869	11050	1651
870	11062	1638
871	11074	1625
872	11086	1612
873	11099	1600
874	11112	1587
875	11124	1574
876	11136	1561
877	11149	1549
878	11161	1536
879	11172	1523
880	11184	1510
881	11196	1497
882	11208	1485
883	11217	1471
884	11228	1459
885	11236	1445
886	11246	1432
887	11256	1419
888	11268	1406
889	11278	1393
890	11288	1380
891	11297	1367
892	11309	1355
893	11317	1341
894	11330	1329
895	11340	1316
896	11350	1303
897	11362	1290
898	11373	1277
899	11384	1264
900	11395	1252
901	11404	1239
902	11413	1226
903	11424	1213
904	11432	1200
905	11442	1187
906	11451	1174
907	11460	1161
908	11470	1148
909	11482	1135
910	11491	1122
911	11501	1109
912	11510	1096
913	11521	1084
914	11532	1071
915	11545	1058
916	11556	1046
917	11568	1033
918	11580	1020
919	11592	1008
920	11605	995
921	11617	982
922	11629	970
923	11643	957
924	11655	945
925	11668	932
926	11680	919
927	11692	907
928	11705	894
929	11717	881
930	11728	869
931	11745	856
932	11767	845
933	11783	832
934	11796	820
935	11806	807
936	11818	794
937	11826	781
938	11835	768
939	11847	756
940	11856	743
941	11867	730
942	11875	717
943	11886	705
944	11898	692
945	11910	679
946	11920	667
947	11929	654
948	11938	641
949	11950	628
950	11961	616
951	11973	603
952	11984	591
953	11993	578
954	12005	565
955	12017	553
956	12029	540
957	12038	527
958	12048	515
959	12059	502
960	12067	489
961	12078	477
962	12090	464
963	12102	451
964	12113	439
965	12122	426
966	12133	414
967	12143	401
968	12155	388
969	12166	376
970	12178	363
971	12187	351
972	12199	338
973	12209	325
974	12220	313
975	12230	300
976	12240	288
977	12248	275
978	12259	262
979	12268	250
980	12282	237
981	12294	225
982	12306	212
983	12318	200
984	12331	187
985	12343	175
986	12355	162
987	12367	150
988	12379	137
989	12391	125
990	12403	112
991	12415	100
992	12427	87
993	12439	75
994	12451	62
995	12464	50
996	12477	37
997	12489	25
998	12501	12
999	12512	0
